audit_id,cardnumber,cardname,primary_family,effect_text,matcher,resolver,representative_executed,runtime_checked,trigger_reached,resolver_reached,effect_resolved,pending_kind,evidence,state_result,cleanup_result,undo_result,ui_result,phase4_result,notes
LL-bp2-001#A02,LL-bp2-001,渡辺曜＆鬼塚夏美＆大沢瑠璃乃,常時効果,このメンバーはバトンタッチで控え室に置けない。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/LL_bp2_001_A02,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,メンバーをウェイト,相手のステージにいるウェイト状態のメンバー1人につき、<(ブレード)>を得る。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp3_002_A02,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,ブレード付与,自分の成功ライブカード置き場にあるカードのスコアの合計が相手より高いかぎり、<(ブレード)><(ブレード)>を得る。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp4_018_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,手札を捨てる,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp5_111_A02,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,成功置き場参照,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_019_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,必要ハート軽減,このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを<任意><任意>減らす。この効果は重複しない。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_022_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,ドロー,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__pb1_015_A02,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!HS-bp1-003#A01,PL!HS-bp1-003,乙宗梢,スコア加算,自分のステージのエリアすべてに『蓮ノ空』のメンバーが登場しており、かつ名前が異なる場合、「<常時>ライブの合計スコアを+1する。」を得る。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp1_003_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,メンバーをアクティブ,自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアクティブ状態のメンバー1人をウェイトにする。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp6_007_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!HS-pb1-001#A01,PL!HS-pb1-001,日野下花帆,エネルギー,自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、<(E)>を支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_pb1_001_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp5-030#A01,PL!N-bp5-030,繚乱！ビクトリーロード,ライブ終了時cleanup,自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持たない場合、ライブ終了時まで、そのメンバーは<ALL>を得る。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_N_bp5_030_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-bp6-002#A01,PL!S-bp6-002,桜内梨子,デッキ上へ戻す,『Aqours』のライブカードが自分のライブカード置き場から控え室に置かれたとき、そのライブカードをデッキの一番上か一番下に置いてもよい。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_S_bp6_002_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
